project_path,test_success,maven_test_time,xml_test_time,overhead_time
javaee-samples_javaee7-samples,false,136.941,84.75100000000002,52.18999999999998
javaparser_javaparser,false,0.728,0,0.728
javaslang_javaslang,true,109.215,278.0489999999998,-168.8339999999998
jawi_ols,false,14.557,6.582,7.9750000000000005
jbake-org_jbake,true,14.648,12.992,1.6559999999999988
jbarrez_spring-boot-with-activiti-example,true,11.418,0.285,11.133
jcabi_jcabi-aspects,true,13.902,22.962000000000003,-9.060000000000004
jcabi_jcabi-github,true,18.296,133.26600000000005,-114.97000000000006
jcabi_jcabi-ssh,true,4.354,8.844,-4.489999999999999
jenkinsci_blueocean-plugin,false,14.253,0.178,14.075
jenkinsci_docker-build-publish-plugin,true,35.466,45.03,-9.564
jenkinsci_docker-slaves-plugin,true,18.465,12.335,6.129999999999999
jenkinsci_docker-workflow-plugin,true,614.649,607.9700000000001,6.67899999999986
jenkinsci_gerrit-trigger-plugin,true,2418.458,11409.637000000002,-8991.179000000002
jenkinsci_github-plugin,true,3167.271,3158.345,8.926000000000386
jenkinsci_java-client-api,true,3.12,0.4690000000000001,2.651
jenkinsci_mesos-plugin,true,23.276,31.668,-8.392
jeremyh_jBCrypt,true,12.35,11.733,0.6169999999999991
jeremylong_DependencyCheck,false,2.975,0.29300000000000004,2.682
jexp_batch-import,true,14.401,13.479999999999999,0.9210000000000012
jexp_neo4j-shell-tools,false,0,0,0
jfree_jfreechart,false,10.722,6.004000000000007,4.717999999999993
jgritman_httpbuilder,false,47.009,45.708999999999996,1.3000000000000043
jhunters_jprotobuf,true,4.948,2.094,2.8540000000000005
jitsi_jitsi-videobridge,true,5.204,2.946,2.2579999999999996
jline_jline2,false,0,0,0
jmacglashan_burlap,true,14.561,11.036000000000001,3.5249999999999986
jmeter-maven-plugin_jmeter-maven-plugin,false,0.48,0,0.48
jooby-project_jooby,false,168.865,127.7090000000001,41.155999999999906
jplag_jplag,true,6.351,0.476,5.875
jpmml_jpmml-evaluator,false,0.515,0,0.515
jpush_jpush-api-java-client,true,2.115,0.08,2.035
jqno_equalsverifier,true,6.37,4.910999999999996,1.459000000000004
jsimone_webapp-runner,true,2.072,0.247,1.8250000000000002
jsonld-java_jsonld-java,true,23.917,21.529999999999994,2.3870000000000076
kaitoy_pcap4j,false,6.031,1.7040000000000002,4.327
keepkey_multibit-hd,true,85.97800000000001,80.24900000000001,5.728999999999999
kenglxn_QRGen,true,3.904,2.3329999999999997,1.5710000000000002
klout_brickhouse,true,11.506,9.450000000000003,2.0559999999999974
kongchen_swagger-maven-plugin,true,11.206,7.059,4.146999999999999
konsoletyper_teavm,false,541.205,2146.4090000000006,-1605.2040000000006
ktoso_maven-git-commit-id-plugin,true,11.866,9.607,2.2590000000000003
languagetool-org_languagetool,true,253.587,230.16700000000014,23.419999999999845
larsga_Duke,true,21.912,19.210999999999995,2.701000000000004
