overhead_time,project_path,timecost_group,test_success,selection_group,xml_test_time,maven_test_time
4.1370000000000005,drtshock_Essentials,short,false,testable,0.031,4.168
4.6690000000000005,easymock_easymock,short,false,testable,3.2550000000000003,7.924
3.518,easymock_objenesis,short,false,testable,0.59,4.108
-10.789999999999996,eclipse_leshan,short,true,testable,25.143999999999995,14.354
1.6019999999999985,eclipsesource_J2V8,short,false,testable,5.847000000000001,7.449
0,eivindveg_HotSUploader,short,false,untestable,0,0
1.7510000000000001,elki-project_elki,short,false,testable,0.001,1.752
1.5540000000000003,etsy_statsd-jvm-profiler,short,true,testable,0.7479999999999999,2.302
2.615,eugenp_REST-With-Spring,short,true,testable,0.521,3.136
6.105000000000002,fabric8io_spring-cloud-kubernetes,short,false,testable,10.556,16.661
-293.4339999999999,facebookarchive_linkbench,long,true,testable,555.5379999999999,262.104
4.289,fakereplace_fakereplace,short,false,testable,0.484,4.773
4.075000000000003,feroult_yawp,short,true,testable,2.8129999999999966,6.888
0.634,fizzed_rocker,short,false,untestable,0,0.634
0.7909999999999968,fluent_fluent-logger-java,short,true,testable,33.326,34.117
2.0200000000000005,forcedotcom_wsc,short,true,testable,4.582,6.602
37.503,forge_core,short,false,testable,26.357999999999993,63.861
1.576999999999991,fpj_zookeeper-book-example,short,true,testable,59.397000000000006,60.974
8.829999999999998,freedomotic_freedomotic,short,true,testable,6.857000000000001,15.687
1.161,frohoff_ysoserial,short,false,testable,2.774,3.935
23.013000000000005,fusesource_hawtdispatch,short,false,testable,11.991999999999999,35.005
2.6340000000000003,galenframework_galen,short,false,testable,3.38,6.014
69.97800000000001,gchq_Gaffer,short,false,testable,42.83099999999999,112.809
61.571000000001675,geotools_geotools,long,true,testable,392.5599999999983,454.131
1.134,giltene_jHiccup,short,true,testable,0.034,1.168
1.561,github_maven-plugins,short,true,testable,0.839,2.4
0.722,glowroot_glowroot,short,false,untestable,0,0.722
10.935,glyptodon_guacamole-client,short,true,testable,0.043,10.978
43.879,google_closure-compiler,short,true,testable,42.80100000000001,86.68
345.89399999999995,google_google-java-format,short,false,testable,3.189,349.08299999999997
7.369000000000014,googleads_googleads-java-lib,short,false,testable,48.73999999999999,56.109
5.297000000000082,graphaware_neo4j-framework,medium,false,testable,274.4119999999999,279.709
1.468,graphaware_neo4j-reco,short,true,testable,11.692,13.16
1.9289999999999878,graphaware_neo4j-timetree,medium,false,testable,82.72100000000002,84.65
1.065,graphhopper_map-matching,short,false,testable,0.026,1.091
3.456000000000003,greenmail-mail-test_greenmail,short,true,testable,50.888,54.344
4.093999999999999,hantsy_angularjs-springmvc-sample,short,true,testable,2.743,6.837
0.857,hantsy_angularjs-springmvc-sample-boot,short,false,untestable,0,0.857
8.51900000000002,haraldk_TwelveMonkeys,short,true,testable,42.98799999999998,51.507
-10217.585000000015,hazelcast_hazelcast,long,false,testable,10305.585000000015,88.0
-232.14799999999997,hazelcast_hazelcast-jet,long,true,testable,452.55499999999995,220.40699999999998
2.8820000000000006,hdiv_hdiv,short,true,testable,7.713,10.595
1.2759999999999998,healthonnet_hon-lucene-synonyms,short,true,testable,2.9830000000000005,4.259
103.85099999999997,hector-client_hector,medium,false,testable,250.251,354.102
36.079000000000065,hibernate_hibernate-ogm,medium,true,testable,240.99999999999994,277.079
0.721,hibernate_hibernate-search,short,false,untestable,0,0.721
1.002,horrorho_InflatableDonkey,short,true,testable,0.3480000000000001,1.35
1.3349999999999937,httl_httl,short,false,testable,37.22800000000001,38.563
4.821000000000005,ihaolin_diablo,short,false,testable,45.769999999999996,50.591
0.608,ihaolin_wepay,short,false,testable,0.031,0.639
2.327000000000001,imglib_imglib2,short,true,testable,4.943999999999999,7.271
0,impetus-opensource_Kundera,short,false,untestable,0,0
1.9349999999999996,impossibl_pgjdbc-ng,short,false,testable,0.8640000000000002,2.799
8.314999999999998,infinitest_infinitest,short,false,testable,7.812000000000002,16.127
5.870000000000003,intuit_karate,short,true,testable,9.282999999999998,15.153
0,intuit_wasabi,short,false,untestable,0,0
10.139000000000067,ippontech_tatami,long,false,testable,348.02199999999993,358.161
278.56499999999994,jankotek_mapdb,medium,true,testable,236.0540000000001,514.619
52.18999999999998,javaee-samples_javaee7-samples,medium,false,testable,84.75100000000002,136.941
0.728,javaparser_javaparser,short,false,untestable,0,0.728
-168.8339999999998,javaslang_javaslang,medium,true,testable,278.0489999999998,109.215
7.9750000000000005,jawi_ols,short,false,testable,6.582,14.557
1.6559999999999988,jbake-org_jbake,short,true,testable,12.992,14.648
11.133,jbarrez_spring-boot-with-activiti-example,short,true,testable,0.285,11.418
-9.060000000000004,jcabi_jcabi-aspects,short,true,testable,22.962000000000003,13.902
-114.97000000000006,jcabi_jcabi-github,medium,true,testable,133.26600000000005,18.296
-4.489999999999999,jcabi_jcabi-ssh,short,true,testable,8.844,4.354
14.075,jenkinsci_blueocean-plugin,short,false,testable,0.178,14.253
-9.564,jenkinsci_docker-build-publish-plugin,short,true,testable,45.03,35.466
6.129999999999999,jenkinsci_docker-slaves-plugin,short,true,testable,12.335,18.465
6.67899999999986,jenkinsci_docker-workflow-plugin,long,true,testable,607.9700000000001,614.649
-8991.179000000002,jenkinsci_gerrit-trigger-plugin,long,true,testable,11409.637000000002,2418.458
8.926000000000386,jenkinsci_github-plugin,long,true,testable,3158.345,3167.271
2.651,jenkinsci_java-client-api,short,true,testable,0.4690000000000001,3.12
-8.392,jenkinsci_mesos-plugin,short,true,testable,31.668,23.276
0.6169999999999991,jeremyh_jBCrypt,short,true,testable,11.733,12.35
2.682,jeremylong_DependencyCheck,short,false,testable,0.29300000000000004,2.975
0.9210000000000012,jexp_batch-import,short,true,testable,13.479999999999999,14.401
0,jexp_neo4j-shell-tools,short,false,untestable,0,0
4.717999999999993,jfree_jfreechart,short,false,testable,6.004000000000007,10.722
1.3000000000000043,jgritman_httpbuilder,short,false,testable,45.708999999999996,47.009
2.8540000000000005,jhunters_jprotobuf,short,true,testable,2.094,4.948
2.2579999999999996,jitsi_jitsi-videobridge,short,true,testable,2.946,5.204
0,jline_jline2,short,false,untestable,0,0
3.5249999999999986,jmacglashan_burlap,short,true,testable,11.036000000000001,14.561
0.48,jmeter-maven-plugin_jmeter-maven-plugin,short,false,untestable,0,0.48
41.155999999999906,jooby-project_jooby,medium,false,testable,127.7090000000001,168.865
5.875,jplag_jplag,short,true,testable,0.476,6.351
0.515,jpmml_jpmml-evaluator,short,false,untestable,0,0.515
2.035,jpush_jpush-api-java-client,short,true,testable,0.08,2.115
1.459000000000004,jqno_equalsverifier,short,true,testable,4.910999999999996,6.37
1.8250000000000002,jsimone_webapp-runner,short,true,testable,0.247,2.072
2.3870000000000076,jsonld-java_jsonld-java,short,true,testable,21.529999999999994,23.917
4.327,kaitoy_pcap4j,short,false,testable,1.7040000000000002,6.031
5.728999999999999,keepkey_multibit-hd,medium,true,testable,80.24900000000001,85.97800000000001
1.5710000000000002,kenglxn_QRGen,short,true,testable,2.3329999999999997,3.904
2.0559999999999974,klout_brickhouse,short,true,testable,9.450000000000003,11.506
4.146999999999999,kongchen_swagger-maven-plugin,short,true,testable,7.059,11.206
-1605.2040000000006,konsoletyper_teavm,long,false,testable,2146.4090000000006,541.205
2.2590000000000003,ktoso_maven-git-commit-id-plugin,short,true,testable,9.607,11.866
23.419999999999845,languagetool-org_languagetool,medium,true,testable,230.16700000000014,253.587
2.701000000000004,larsga_Duke,short,true,testable,19.210999999999995,21.912
11.320000000000004,lintool_warcbase,short,true,testable,16.642999999999997,27.963
2.6450000000000022,mangstadt_ez-vcard,short,true,testable,2.474999999999998,5.12
1.7069999999999999,mesos_storm,short,true,testable,0.8750000000000001,2.582
1.2100000000000009,mitre_HTTP-Proxy-Servlet,short,true,testable,15.881,17.091
3.962000000000046,mongojack_mongojack,long,true,testable,353.80999999999995,357.772
3.9319999999999027,neo4j_neo4j-ogm,long,true,testable,422.8070000000001,426.739
-23.958,networknt_light-java,medium,true,testable,65.803,41.845
1.8550000000000006,neuland_jade4j,short,true,testable,1.6729999999999994,3.528
8.552000000000001,olivergierke_spring-restbucks,short,true,testable,12.749999999999998,21.302
10.293,openscoring_openscoring,short,false,testable,1.669,11.962
57.641999999999996,pac4j_pac4j,short,false,testable,10.979,68.621
2.039999999999992,patrickfav_density-converter,medium,true,testable,74.27100000000002,76.311
17.084999999999997,perwendel_spark,short,true,testable,2.946,20.031
2.325,pinterest_secor,short,true,testable,4.907,7.232
4.819000000000004,protegeproject_webprotege,short,true,testable,1.7849999999999957,6.604
13.352000000000011,rackerlabs_blueflood,short,true,testable,54.36699999999998,67.719
1.9739999999999993,raml-org_raml-java-parser,short,true,testable,4.7780000000000005,6.752
4.2649999999999935,redpen-cc_redpen,short,true,testable,32.334,36.599
0,restx_restx,short,false,untestable,0,0
1.7879999999999967,rythmengine_rythmengine,short,true,testable,32.415000000000006,34.203
3.657,schema-repo_schema-repo,short,true,testable,15.126999999999999,18.784
1.654,sendgrid_sendgrid-java,short,false,testable,1.17,2.824
2.248000000000001,sirensolutions_siren-join,short,false,testable,16.852999999999998,19.101
12.341000000000005,speedment_speedment,short,true,testable,16.882999999999996,29.224
0.9660000000000011,spinscale_elasticsearch-opennlp-plugin,medium,false,testable,62.205,63.171
5.498999999999995,spotify_apollo,short,true,testable,22.781000000000006,28.28
0.9779999999999998,spotify_cassandra-reaper,short,true,testable,6.183,7.161
2.703,spotify_docker-client,short,false,testable,3.456,6.159
-283.6199999999999,spotify_helios,long,false,testable,381.2109999999999,97.59100000000001
1.8289999999999997,spotify_netty-zmtp,short,true,testable,3.816,5.645
0,spring-cloud_spring-cloud-aws,short,false,untestable,0,0
12.202,spring-guides_tut-bookmarks,short,true,testable,0.93,13.132
7.286,spring-projects_spring-amqp-samples,short,true,testable,1.6769999999999998,8.963
137.074,spring-projects_spring-boot,short,false,testable,3.665,140.739
8.569000000000003,spring-projects_spring-data-commons,short,true,testable,8.906999999999996,17.476
68.7079999999994,spring-projects_spring-data-redis,long,false,testable,543.6960000000006,612.404
1.9399999999999995,spring-projects_spring-mvc-showcase,short,true,testable,13.475,15.415
0.8760000000000003,spring-projects_spring-retry,short,true,testable,6.566999999999999,7.443
313.7890000000003,structr_structr,long,false,testable,895.1739999999996,1208.963
6.194000000000001,swagger-api_swagger-core,short,true,testable,6.875,13.069
4.936,swagger-api_swagger-socket,short,true,testable,16.508,21.444
33.937999999999995,takari_polyglot-maven,short,false,testable,7.416999999999999,41.355
16.264000000000003,tamingtext_book,short,false,testable,59.01,75.274
2.680999999999983,tdunning_t-digest,medium,false,testable,209.06300000000002,211.744
9.076999999999998,timmolter_XChange,medium,true,testable,64.864,73.941
1.0810000000000004,tomighty_tomighty,short,true,testable,4.6049999999999995,5.686
6.15,torquebox_jruby-maven-plugins,short,false,testable,3.7479999999999998,9.898
3.9690000000000003,trautonen_coveralls-maven-plugin,short,true,testable,1.409,5.378
1.1789999999999736,twilio_twilio-java,medium,true,testable,90.58200000000002,91.761
17.37399999999998,twitter_GraphJet,medium,true,testable,68.88700000000001,86.261
1.1099999999999999,twitter_hbc,short,true,testable,0.826,1.936
18.7290000000001,twitter_hraven,medium,true,testable,274.0729999999999,292.802
8.773000000000003,usc-isi-i2_Web-Karma,short,true,testable,27.942999999999998,36.716
110.86299999999997,vaadin_framework,short,false,testable,36.16500000000001,147.028
9.185,viritin_viritin,short,true,testable,1.6159999999999994,10.801
1.0979999999999999,winterbe_github-matrix,short,false,testable,2.077,3.175
0.9199999999999999,yahoo_egads,short,true,testable,2.444,3.364
3.455999999999996,yahoo_samoa,short,true,testable,41.072,44.528
3.276,yahoo_storm-yarn,short,false,testable,26.514,29.79
0.6869999999999998,yinwang0_pysonar2,short,true,testable,1.07,1.757
1.1000000000000014,ysc_word,short,true,testable,20.241,21.341
1.8049999999999926,zeromq_jeromq,short,true,testable,28.793000000000006,30.598
0,Adobe-Consulting-Services_acs-aem-commons,short,false,untestable,0,0
