project,time
apache_flume,0
apache_flume,0.002
apache_flume,0.033
apache_flume,0
apache_flume,0
apache_flume,0.002
apache_flume,0.009
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0.015
apache_flume,0
apache_flume,0
apache_flume,0.001
apache_flume,0.017
apache_flume,0.003
apache_flume,0.019
apache_flume,0.001
apache_flume,0.001
apache_flume,0.04
apache_flume,0.003
apache_flume,0.001
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0.001
apache_flume,0.02
apache_flume,0.001
apache_flume,0.006
apache_flume,0.337
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0
apache_flume,0
apache_flume,0.001
apache_flume,0
apache_flume,0.467
apache_flume,0.211
apache_flume,0.18
apache_flume,0.445
apache_flume,0.473
apache_flume,0.208
apache_flume,0.276
apache_flume,4.657
apache_flume,0.248
apache_flume,1.265
apache_flume,0.133
apache_flume,0.118
apache_flume,0.131
apache_flume,0.198
apache_flume,0.275
apache_flume,0.248
apache_flume,0.094
apache_flume,0.136
apache_flume,0.127
apache_flume,0.069
apache_flume,0.145
apache_flume,0.111
apache_flume,0.133
apache_flume,0.25
apache_flume,0.092
apache_flume,0.128
apache_flume,0.012
apache_flume,0
apache_flume,0.153
apache_flume,0.003
apache_flume,0.954
apache_flume,0.001
apache_flume,0.901
apache_flume,0.002
apache_flume,0.004
apache_flume,0.007
apache_flume,0.33
apache_flume,2.249
apache_flume,0.122
apache_flume,0.109
apache_flume,0.094
apache_flume,0.105
apache_flume,0.098
apache_flume,0.1
apache_flume,0.107
apache_flume,0.098
apache_flume,0.095
apache_flume,0.107
apache_flume,0.038
apache_flume,0.168
apache_flume,0.161
apache_flume,0.122
apache_flume,0.119
apache_flume,1.252
apache_flume,0.113
apache_flume,0.003
apache_flume,0
apache_flume,0
apache_flume,0
apache_flume,0.412
apache_flume,3.056
apache_flume,0.125
apache_flume,6.046
apache_flume,4.063
apache_flume,23.027
apache_flume,3.41
apache_flume,3.127
apache_flume,3.104
apache_flume,3.088
apache_flume,3.107
apache_flume,0.137
apache_flume,3.016
apache_flume,3.049
apache_flume,0.042
apache_flume,0.017
apache_flume,0.031
apache_flume,0.024
apache_flume,0.031
apache_flume,6.396
apache_flume,3.004
apache_flume,5.522
apache_flume,10.171
apache_flume,2.567
apache_flume,0.532
apache_flume,0.081
apache_flume,5.002
apache_flume,5.004
apache_flume,5.02
