mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
Standard,httpbuilder,53.488,51.998,9,80,0,14.39,0.38,54.28
Standard,agoncal-book-javaee7,6.243,0.22300000000000003,1,80,0,22.43,0.54,7.12
Standard,scrutineer,9.475,3.1009999999999995,0,113,0,22.97,0.62,10.29
Standard,openscoring,6.086,2.61,0,4,0,25.15,0.46,6.97
Standard,sling,923,706.1599999999986,29,2249,0,584.04,15.52,925.38
Standard,neo4j-shell-tools,13.998,12.374999999999998,6,61,0,40.67,1.23,14.89
Standard,freedomotic,16.908,4.322000000000001,0,73,0,49.78,1.11,17.9
Standard,jackrabbit-oak,1465,1322.4289999999967,200,7758,0,1383.97,35.44,1466.21
Standard,phabricator-jenkins-plugin,64,111.332,0,190,0,244.65,19.48,65.47
Standard,jwt-spring-security-demo,5.561,0.34500000000000003,0,2,0,24.34,0.36,6.39
Standard,superword,3.862,0.041,0,2,0,18.0,0.3,4.69
Standard,ik-analyzer,1.766,0.223,0,4,0,8.74,0.16,2.63
Standard,github-plugin,1539,1507.7769999999996,1,246,0,254.55,7.4,1540.58
Standard,cassandra-reaper,11.178,3.343,0,105,0,18.09,5.39,12.11
Standard,dynamodb-transactions,3.146,0.84,0,64,0,8.63,2.07,4.06
Standard,spring-cloud-consul,7.026,0.135,1,15,0,17.61,3.5,7.74
Standard,fluent-http,45.735,40.534,3,409,0,76.45,7.15,46.54
Standard,geo,4.889,2.496,0,92,0,16.0,2.3,5.72
Standard,tomee,592,561.7009999999995,2,3952,0,1314.49,436.72,594.18
Standard,elasticsearch-carrot2,8.977,0.004,0,1,0,27.96,4.71,10.64
Standard,mongojack,381,363.48499999999996,28,714,0,25.63,2.73,382.57
Standard,objenesis,3.797,0.36000000000000004,2,32,0,13.51,0.28,4.61
Standard,WS-Attacker,70,59.134,8,495,0,96.25,40.19,70.98
Standard,neo4j-reco,18.742,16.538999999999998,0,19,0,37.07,4.12,19.52
Standard,xenon,428,350.2889999999997,6,672,0,444.64,15.47,429.47
Standard,burlap,15.417,11.141,0,20,0,59.77,2.98,16.28
Standard,stormpath-sdk-java,33.150,0.15000000000000002,0,21,0,101.82,1.66,34.2
Standard,sendgrid-java,3.550,1.4569999999999976,0,239,0,14.5,0.31,4.38
Standard,getdown,1.613,0.175,0,20,0,7.99,0.2,2.4
Standard,docker-slaves-plugin,19.749,0.3790000000000001,0,19,0,58.9,2.72,20.66
Standard,incubator-brooklyn,101,0.149,0,10,0,212.96,7.4,102.43
Standard,Strata,75,11.156999999999998,0,44,0,299.58,4.94,75.83
Standard,cloudsync,6.356,5.199,0,2,0,14.58,0.47,7.23
Standard,docker-build-publish-plugin,71,64.08099999999999,0,10,0,138.07,8.11,72.47
