name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group
jenkinsci_docker-workflow-plugin,SUCCESS,SUCCESS,43,7,0,3,266.666666666667,45.0814078455114,255.211666666667,44.7762059617977,0.00,medium
jenkinsci_github-plugin,SUCCESS,SUCCESS,246,43,0,3,1572.66666666667,223.683556242593,1558.653,223.349706395598,0.00,long
jenkinsci_java-client-api,SUCCESS,SUCCESS,69,10,0,3,2.74466666666667,0.0428524600616269,0.416333333333333,0.0187705443004014,0.00,short
jenkinsci_mesos-plugin,SUCCESS,SUCCESS,38,5,0,3,29.2553333333333,0.197419181776577,26.0083333333333,0.174184767799407,0.00,short
jeremyh_jBCrypt,SUCCESS,SUCCESS,6,1,0,3,17.691,0.237966384180623,16.594,0.283931329726044,0.00,short
jeremylong_DependencyCheck,FAILURE,FAILURE,26,5,0,3,3.55133333333333,0.0364737348421209,0.282666666666667,0.0135769412362775,0.00,short
jexp_batch-import,SUCCESS,SUCCESS,111,19,0,3,17.7076666666667,0.506384570591692,16.3406666666667,0.515932489123659,0.00,short
jfree_jfreechart,SUCCESS,FAILURE,2138,341,1,3,8.299,0.148280140275089,1.91733333333333,0.0468757222166586,0.05,short
jgritman_httpbuilder,SUCCESS,FAILURE,80,9,22,3,57.9306666666667,19.98772659242,56.2803333333333,20.3548835991104,27.50,short
jitsi_jitsi-videobridge,SUCCESS,SUCCESS,7,1,0,3,3.65366666666667,0.0645781180689971,1.791,0.0611473629848418,0.00,short
jmacglashan_burlap,SUCCESS,SUCCESS,20,5,0,3,14.4903333333333,0.254498199076797,9.663,0.193176085476437,0.00,short
jmeter-maven-plugin_jmeter-maven-plugin,SUCCESS,SUCCESS,83,10,0,3,5.53166666666667,0.105077748992512,0.82,0.0259807621135331,0.00,short
jmrozanec_cron-utils,SUCCESS,SUCCESS,450,57,0,3,3.97166666666667,0.0474376784142451,1.21066666666667,0.0111504857891184,0.00,short
