created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2016-06-02T17:09:53Z,master,False,eclipse/paho.mqtt-spy,True,2018-03-24T23:08:02Z,41f477215fa54d6db31499eb3b2dc3dc539503c1,1225,362
2012-05-12T23:56:39Z,master,False,javatuples/javatuples,True,2018-03-24T23:00:54Z,5e24bbd91afebb2b71f2e505a3d8ced730039dd6,132,294
2015-01-21T04:27:27Z,master,False,davidkiss/spring-boot-quartz-demo,True,2018-03-24T15:00:30Z,b09a334a523b707e351b0df12fdd69185d8686af,19,275
2011-12-23T19:17:17Z,master,False,goldmansachs/gs-collections,True,2018-03-25T20:27:46Z,fa8bf3e103689efa18bca2ab70203e71cde34b52,15275,1738
2016-06-08T12:35:22Z,master,False,megagao/IndoorPos,True,2018-03-25T07:10:20Z,8ef19c654256e8c742679200dc15b3f2f98c3aa3,1778,319
2015-09-04T12:19:40Z,master,False,TimeAndSpaceIO/SmoothieMap,True,2018-03-25T11:51:36Z,c798f6cae1d377f6913e8821a1fcf5bf45ee0412,136,179
2014-12-20T13:00:28Z,master,False,lejon/T-SNE-Java,True,2018-03-25T11:52:35Z,c73c8a062ec04790a21236e171c8a3f0ae6ddeae,2147,157
2018-02-07T05:57:32Z,master,False,biezhi/learn-java8,True,2018-03-26T05:21:41Z,d381976a4e33941dba6c430ba20e1f833ebdc2e8,162,610
2017-03-28T00:29:11Z,master,False,LearningByExample/reactive-ms-example,True,2018-03-26T10:40:49Z,c40d5855ce2c5e0b6dfb06aa4a421ae9560d6548,687,143
2017-03-11T04:34:18Z,master,False,nosqlcoco/springboot-netty-protobuf,True,2018-03-26T14:12:30Z,5615a426f519adacd6b86ecb2eb0953ffb53fad1,27,121
2017-08-14T14:16:51Z,master,False,rstoyanchev/demo-reactive-spring,True,2018-03-26T13:23:08Z,1d110c658423a42b5fa0b3989fb75d1e16b8438b,18,100
2016-06-17T14:20:49Z,master,False,zjlywjh001/PhrackCTF-Platform-Team,True,2018-03-27T15:42:13Z,640acbaa2f52667b08155eea4ba1a3b8b71d2979,9057,128
2016-06-17T13:54:05Z,master,False,zjlywjh001/PhrackCTF-Platform-Personal,True,2018-03-27T15:54:26Z,a8fff07ef6cabe8e7166bf3ab04f96e5c453656e,9037,106
2013-11-07T20:51:55Z,master,False,awslabs/route53-infima,True,2018-03-28T21:41:52Z,325dfbe9b45d6ca3f10b2e84aef198996de6b0db,33,179
2013-05-10T16:26:32Z,master,False,eBay/cors-filter,True,2018-03-29T07:41:07Z,f782f4cd0a67a3c814a92b0907674fd93aa96dbe,527,204
2014-05-28T05:00:57Z,master,False,andrew-hoffman/halfnes,True,2018-03-29T22:55:50Z,fd7d332eee6ee5e8c69d6a738225481decef1657,7322,110
2014-07-17T13:37:28Z,master,False,pumadong/cl-privilege,True,2018-03-30T05:58:44Z,f2ebc5002b44fc3f621a123b954620a92804856a,356,472
2013-10-12T08:50:14Z,master,False,Fanping/iveely.search,True,2018-03-30T00:52:13Z,25d4e628024e25ff76743701ae0b90372c6ba94b,346699,265
2013-12-29T18:37:06Z,master,False,walkmod/walkmod-core,True,2018-03-30T18:29:52Z,fa79b836894fa00ca4b3e2bd26326a44b778f46f,766,140
2017-04-27T13:02:15Z,master,False,simplesteph/kafka-connect-github-source,True,2018-03-31T20:12:09Z,2e1859156d5674eafb3d60e6d634d0027133ea16,44,146
2011-10-15T07:42:57Z,master,False,gturri/aXMLRPC,True,2018-03-31T15:19:38Z,8ca6f95f7eb3a28efaef3569d53adddeb32b6bda,334,116
2018-03-18T07:43:10Z,master,False,whyalwaysmea/Spring-Security,True,2018-04-01T01:52:52Z,41f431a4217406a48a953920283be7de979fba16,95,205
2013-10-15T12:42:13Z,master,False,NLPchina/Word2VEC_java,True,2018-04-02T07:53:51Z,76ff20fc3f93b107a42595bb165bddeedd1e457d,18664,516
2018-04-02T12:00:22Z,master,False,xpleaf/ispider,True,2018-04-02T13:11:07Z,900144ec72a2397c7136af1e59428bdf1062270e,42,140
2012-07-07T13:56:43Z,master,False,ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework,True,2018-04-03T07:50:34Z,90aad086f76b855bfacd73db41b38cfe101ec892,434,266
2016-04-11T11:15:47Z,master,False,brianway/algorithms-learning,True,2018-04-03T07:26:53Z,89f273ce1045ffc167c8da578beb16cb4982e4ad,2398,150
2015-11-08T05:10:30Z,master,False,ikkisoft/SerialKiller,True,2018-04-04T20:33:18Z,4a09d4a38dd6ab07fa264138d62b5cb7fc80fb90,61,192
2011-10-25T04:52:24Z,master,False,iamxiatian/xsimilarity,True,2018-04-04T05:09:03Z,812ec85d3341731e615c3cd91af17c1df4840853,15498,159
2013-01-12T12:57:51Z,master,False,zhangkaitao/es,True,2018-04-05T06:48:38Z,0c6b3cbb8ef26f29b32d164efb0d9d97dd7e497f,8753,2003
2013-06-22T10:38:27Z,master,False,zhangkaitao/servlet3-showcase,True,2018-04-05T06:48:57Z,909a4a3b019b859e85b49f1223491fc20d464dc3,164,572
2013-12-17T14:26:48Z,master,False,zhangkaitao/spring4-showcase,True,2018-04-05T06:49:56Z,3ddf718538a49844a3f66a404a0db83fe3a8e6e7,167,358
2014-08-06T13:23:24Z,master,False,zhangkaitao/spring4-1-showcase,True,2018-04-05T06:50:45Z,a4d3a8c0e6a7efd150e5d64aee518ae60adcbce1,226,110
2012-07-06T21:05:45Z,master,False,lemire/JavaFastPFOR,True,2018-04-09T15:26:37Z,ffeea61ab2fdb3854da7b0a557f8d22d674477f4,2957,363
2013-06-09T01:16:31Z,master,False,julman99/gson-fire,True,2018-04-09T19:45:32Z,de961bacd4668dcddfb95f967f6eb055a2c00de4,262,187
2015-01-28T14:15:25Z,master,False,tdebatty/java-LSH,True,2018-04-10T18:59:53Z,42a520c98f25cd9d1ba2c28e2caa69a64d43f04c,303,180
2014-10-09T09:54:28Z,master,False,bluejoe2008/openwebflow,True,2018-04-11T08:50:20Z,4a4bb4d654a4cd81bafbda7b2d8c351b7f87a861,35654,565
2013-01-23T20:09:16Z,master,False,theborakompanioni/thymeleaf-extras-shiro,True,2018-04-11T18:45:39Z,609aef469f792dca3320bd62cfca6f0cc43e5093,149,230
2010-11-13T01:00:21Z,master,False,ogrodnek/csv-serde,True,2018-04-11T05:22:59Z,74bb8e42acf831577f554d43ba143a8b2e2f2c8b,28,119
2016-11-28T13:56:39Z,master,False,codingXiaxw/seckill,True,2018-04-12T08:27:57Z,157ebd15ffce3434d8039670a95a5fe000c0fb97,21525,1628
2017-05-03T09:33:15Z,master,False,fanchaoo/hahu,True,2018-04-12T13:53:53Z,b571773cb1c776a98c1be6f8eb64a4b2ce74132a,586,269
2013-02-14T20:23:09Z,develop,False,secure-software-engineering/soot-infoflow-android,True,2018-04-12T13:47:54Z,7755e3ec2ce4ce113fceb3119ed71660ee7f5695,72911,232
2014-10-22T07:57:34Z,master,False,Codearte/catch-exception,True,2018-04-12T11:16:48Z,023de855b0c3f1ab634b6711bc916134417a94b2,1096,122
2009-11-30T23:54:21Z,master,False,angusws/tcx2nikeplus,True,2018-04-12T01:10:12Z,69d203908f52416035142c75678410de19dd2fde,5549,112
2018-04-07T00:14:33Z,master,False,CaledoniaProject/CVE-2018-1270,True,2018-04-12T05:48:24Z,ed78140998ff7a0b2d7ece8bfd44d3dc7833a6bc,474,104
2017-08-17T13:34:38Z,master,False,huhuics/joice,True,2018-04-13T12:21:52Z,b4a24f9ba77760ab437c3202163da31cecd6b139,4485,165
2014-10-23T13:55:12Z,master,False,lindzh/hasting,True,2018-04-15T03:52:27Z,efed0dabcc5181b9f81bb54514048b38adfd7177,22921,196
2014-11-21T18:04:35Z,master,False,ngageoint/mrgeo,True,2018-04-16T10:59:54Z,b4ffe4652de9e11ee97f64246c3f48fb5a81bba6,857535,182
2011-02-21T10:24:00Z,master,False,carrotsearch/smartsprites,True,2019-01-17T18:22:55Z,221f386e45d7a3a9e86726dc557083285e7e4b4a,4498,133
2013-02-25T07:08:36Z,master,False,jirutka/validator-collection,True,2019-01-28T14:00:23Z,df45b077edf39ffb53f0f643b42036f234ae6c0a,150,102
2009-06-28T23:02:38Z,master,False,ccw-ide/ccw,True,2018-04-17T06:26:58Z,47dea22e3cafe9b21bd8cd34e4a26e80c1e17179,48327,211
2016-01-12T17:15:19Z,master,False,dicolar/jbootx,True,2018-04-17T00:15:07Z,659aa727fc8ee544d9c8402d6f300da76a4eb453,4513,171
2013-11-07T09:27:50Z,master,False,Tanaguru/Contrast-Finder,True,2018-04-17T05:32:08Z,afdf80ad9f0012738bc4b6aceea5073691217c59,12777,145
2016-11-12T04:18:25Z,master,False,gitchennan/elasticsearch-analysis-lc-pinyin,True,2018-04-17T07:28:46Z,55392c7ebe7892612ead673369dae4da781d06d6,271,105
2013-08-31T11:37:03Z,master,False,code4craft/xsoup,True,2018-04-18T08:23:21Z,8c080c1455813dddff21a683b3c40adee656a491,207,329
2017-05-22T10:30:32Z,master,False,Sunybyjava/seckill,True,2018-04-18T08:54:04Z,f9f2b680f7091fd3bffde3ab836d371cb3a5faea,5609,318
2015-09-22T17:39:29Z,master,False,zsoltherpai/feather,True,2018-04-18T07:20:19Z,cb4f93dc0eb23932bda6eb24928832a82908ecf8,253,285
2017-11-09T10:09:09Z,master,False,JamesZBL/java_design_patterns,True,2018-04-20T13:45:39Z,517a9b371396dc60d62f1afb1c25e51b0ef0ba20,369,402
2016-09-14T07:36:31Z,master,False,megagao/production_ssm,True,2018-04-23T01:21:36Z,4288d53bd35757b27f2d070057aefb2c07bdd097,6790,657
2014-02-28T05:56:25Z,master,False,hprose/hprose-java,True,2018-04-23T10:59:57Z,0f8d00f1b2ab7a843c5cca3af3099ead8f63cc76,59720,469
2015-05-20T16:04:44Z,master,False,HeidelTime/heideltime,True,2018-04-23T21:09:00Z,4ef5002eb5ecfeb818086ff7e394e792ee360335,18719,213
2012-03-26T20:14:05Z,master,False,st-js/st-js,True,2018-04-23T07:37:29Z,a97a611b39709477b8f6ddb3a05fa64b1976db17,9428,146
2017-05-02T05:43:23Z,master,False,shengqi158/fastjson-remote-code-execute-poc,True,2018-04-24T06:42:57Z,ee1445d8b058832c04a60f4f4cc93b56309d53be,10657,195
2015-01-20T23:12:52Z,master,False,Stuart-campbell/RushOrm,True,2018-04-24T16:04:55Z,3c5645701f0b841b1a1f2ba93b113ffb3e8438d9,1040,175
2012-02-22T19:39:37Z,master,False,sebastianbenz/Jnario,True,2018-04-24T19:35:28Z,847adcbe81d26a45109a5ee8b609541633e87505,432245,136
2016-11-21T13:32:51Z,master,False,roncoo/roncoo-jui-springboot,True,2018-04-24T12:33:16Z,bfa5120e427c3a055d20180917acfce528d3d68c,2808,118
2010-06-15T16:39:09Z,master,False,DigitalPebble/behemoth,True,2018-04-25T10:58:00Z,4e33e29ae81aa6d06786295fdc9a9664060df4a3,7816,283
2013-06-25T16:20:12Z,master,False,awslabs/dynamodb-transactions,True,2018-04-26T17:25:41Z,a3e9f25844cf9097cd9447fbf07e8820cfa12ff4,149,278
2015-12-19T09:57:22Z,master,False,abel533/MyBatis-Spring-Boot,True,2018-04-27T22:44:12Z,e099ad1ca82b287652da033d58ac52c1bb3c2cd3,148,2498
2015-08-16T00:15:14Z,master,False,RobertBColton/DockFX,True,2018-04-27T19:51:04Z,f369da84946be36b30dcc5db1551c86412e3e5a1,100,178
