name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
antlr_stringtemplate4,0818134515,SUCCESS,FAILURE,4.504,2.554999999999999,612,33,3
ArcBees_gwtchosen,0822082044,SUCCESS,SUCCESS,4.705,0,0,0,0
ArcBees_gwtchosen,0820095722,SUCCESS,SUCCESS,4.795,0,0,0,0
ArcBees_gwtchosen,0818134515,SUCCESS,SUCCESS,4.64,0,0,0,0
medcl_elasticsearch-analysis-mmseg,0822082044,SUCCESS,SUCCESS,1.309,0,0,0,0
medcl_elasticsearch-analysis-mmseg,0820095722,SUCCESS,SUCCESS,1.325,0,0,0,0
medcl_elasticsearch-analysis-mmseg,0818134515,SUCCESS,SUCCESS,1.32,0,0,0,0
webfolderio_ui4j,0829090641,SUCCESS,?,0,0,0,0,0
webfolderio_ui4j,0829191149,SUCCESS,?,0,0,0,0,0
webfolderio_ui4j,0830044330,SUCCESS,?,0,0,0,0,0
mp911de_CleanArchitecture,0829090641,SUCCESS,SUCCESS,4.208,1.8179999999999998,10,4,0
mp911de_CleanArchitecture,0829191149,SUCCESS,SUCCESS,4.223,1.8169999999999997,10,4,0
mp911de_CleanArchitecture,0830044330,SUCCESS,SUCCESS,4.186,1.812,10,4,0
gchq_Gaffer,0822082044,FAILURE,FAILURE,187,56.55700000000006,1739,252,1
gchq_Gaffer,0820095722,FAILURE,FAILURE,189,56.288000000000075,1739,252,1
gchq_Gaffer,0818134515,FAILURE,FAILURE,186,56.35900000000002,1739,252,1
tobiasflohre_movie-database,0822082044,SUCCESS,SUCCESS,2.698,0.55,3,2,0
tobiasflohre_movie-database,0820095722,SUCCESS,SUCCESS,2.629,0.52,3,2,0
tobiasflohre_movie-database,0818134515,SUCCESS,SUCCESS,2.777,0.603,3,2,0
protegeproject_webprotege,0822082044,SUCCESS,SUCCESS,6.798,2.0949999999999984,1759,227,0
protegeproject_webprotege,0820095722,SUCCESS,SUCCESS,6.813,2.0929999999999978,1759,227,0
protegeproject_webprotege,0818134515,SUCCESS,SUCCESS,6.757,2.0919999999999974,1759,227,0
