SUBJECT,BUILDER,COMPILED,TESTS_PASS,ELAPSED_TIME
orbit,Maven,True,True,29s
elasticsearch-river-mongodb,Maven,False,False,0s
Lazy,Gradle,N/A,N/A,N/A
graphhopper,Maven,True,True,15s
neuralnetworks,Maven,True,True,1s
droid-fu,Maven,False,False,0s
materialistic,Gradle,False,False,0s
BGAQRCode-Android,Gradle,False,False,0s
android-design-template,Gradle,N/A,N/A,N/A
MagicIndicator,Gradle,N/A,N/A,N/A
json2view,Gradle,False,False,0s
camel,Maven,False,False,0s
CameraFilter,Gradle,False,False,0s
telescope,Gradle,False,False,0s
servo,Gradle,False,False,0s
android-historian,Gradle,False,False,0s
advanced-textview,Gradle,False,False,0s
java-repl,Ant,False,False,0s
Fancybuttons,Gradle,False,False,0s
SwipeToLoadLayout,Gradle,N/A,N/A,N/A
Renderers,Gradle,False,False,0s
FunGameRefresh,Gradle,N/A,N/A,N/A
NewPipe,Gradle,False,False,0s
android-flat-button,Gradle,N/A,N/A,N/A
JavaHamcrest,Gradle,False,False,0s
unirest-java,Maven,True,True,18s
PreLollipopTransition,Gradle,False,False,0s
MVCHelper,Gradle,N/A,N/A,N/A
ListBuddies,Gradle,False,False,0s
Once,Gradle,False,False,0s
frodo,Gradle,False,False,0s
android-database-sqlcipher,Maven,False,False,0s
GestureViews,Gradle,N/A,N/A,N/A
simple-binary-encoding,Gradle,False,False,0s
TileView,Gradle,False,False,0s
liferay-portal,Ant,False,False,0s
Android-Ptr-Comparison,Gradle,N/A,N/A,N/A
FirebaseUI-Android,Gradle,False,False,0s
platform_frameworks_support,Gradle,False,False,0s
VideoRecorder,Gradle,False,False,0s
android-simple-facebook,Gradle,False,False,0s
image-loader,Gradle,False,False,0s
java-algorithms-implementation,Ant,False,False,0s
mahout,Maven,True,True,18m18s
material-intro,Gradle,False,False,0s
RoadRunner,Gradle,False,False,0s
FloatingToolbar,Gradle,False,False,0s
Osmand,Gradle,False,False,0s
kryonet,Maven,True,False,2m38s
ImageBlurring,Gradle,False,False,0s
android-slidingactivity,Gradle,False,False,0s
android-weak-handler,Gradle,False,False,0s
bitcoinj,Maven,False,False,0s
languagetool,Maven,True,True,3m45s
TranslateApp,Gradle,False,False,0s
oryx,Maven,False,False,0s
HeaderAndFooterRecyclerView,Gradle,N/A,N/A,N/A
BlurImageView,Gradle,False,False,0s
material-animated-switch,Gradle,False,False,0s
easydeviceinfo,Gradle,False,False,0s
OpenTripPlanner,Maven,True,True,2m34s
ReadMoreTextView,Gradle,False,False,0s
Metamorphosis,Maven,False,False,0s
recyclerview-stickyheaders,Gradle,False,False,0s
android-sliding-layer-lib,Maven,False,False,0s
AdapterDelegates,Gradle,False,False,0s
ActivityRouter,Gradle,False,False,0s
SmoothCheckBox,Gradle,False,False,0s
hbase,Maven,True,False,89m13s
MaterialProgressBar,Gradle,False,False,0s
morphy-toolbar,Gradle,N/A,N/A,N/A
ribot-app-android,Gradle,False,False,0s
